model,horizon_hours,val_rmse_temperature,test_rmse_temperature,val_mae_temperature,test_mae_temperature,val_rmse_humidity,test_rmse_humidity,val_mae_humidity,test_mae_humidity,val_rmse_pressure,test_rmse_pressure,val_mae_pressure,test_mae_pressure,val_rmse_wind_speed,test_rmse_wind_speed,val_mae_wind_speed,test_mae_wind_speed,val_rmse_mean,test_rmse_mean,vpt_lyapunov,test_rmse_mean_phys,test_rmse_phys_temperature,test_rmse_phys_humidity,test_rmse_phys_pressure,test_rmse_phys_wind_speed
arima,24,0.4178,0.4883,0.306,0.3616,0.4089,0.4487,0.32,0.3502,0.2142,0.2224,0.1486,0.1417,0.7264,0.7904,0.5511,0.5801,0.4418,0.4874,139.0,3.3252,1.704,9.0304,1.294,1.2724
gru,24,0.4672,0.6044,0.3663,0.4554,0.543,0.6101,0.4414,0.4914,0.3497,0.3571,0.2666,0.2628,0.8056,0.8961,0.5944,0.6397,0.5414,0.6169,112.125,4.4771,2.1092,12.279,2.0779,1.4425
lstm,24,0.4586,0.5744,0.3481,0.4267,0.5416,0.6211,0.4325,0.4887,0.3451,0.3806,0.2642,0.2842,0.8059,0.9015,0.5922,0.65,0.5378,0.6194,112.875,4.5428,2.0045,12.5007,2.2147,1.4513
persistence,24,0.5127,0.641,0.3721,0.4402,0.5461,0.6215,0.4172,0.4667,0.2831,0.3442,0.1813,0.1995,0.9494,1.0461,0.7088,0.7531,0.5728,0.6632,105.375,4.6083,2.237,12.5091,2.003,1.6841
esn,24,0.5507,0.6294,0.4426,0.4926,0.5905,0.6689,0.4744,0.535,0.5767,0.5996,0.4864,0.5079,0.8712,0.9227,0.6411,0.6772,0.6473,0.7052,83.5,5.1585,2.1965,13.4627,3.4895,1.4854
warm_start_qrc,24,0.8404,0.8173,0.6563,0.6274,0.9372,0.8643,0.7987,0.7206,2.1979,2.2069,2.1758,2.1829,0.9478,0.9694,0.7514,0.7419,1.2308,1.2145,0.0,8.6626,2.8522,17.395,12.8426,1.5606
cold_start_qrc,24,0.8405,0.8176,0.6559,0.627,0.9371,0.8644,0.7984,0.7207,2.1981,2.208,2.1758,2.1837,0.9479,0.9692,0.7513,0.7413,1.2309,1.2148,0.0,8.6653,2.8532,17.3985,12.8491,1.5603
